,name,quantity,price,description,distributor,link,
,390mm 20x20mm sigma profile,4,16,the base of this project,ROBU.in,https://robu.in/product/easymech-20x20-t-slot-aluminium-extrusion-profile-750-mm/,
,350mm 8mm smooth rod,1,2,for slider,ROBU.in,https://robu.in/product/400-mm-long-chrome-plated-smooth-rod-diameter-8-mm/?gad_source=1&gad_campaignid=17416544847&gbraid=0AAAAADvLFWe12B3AfPO5xZJl_wTg7BaEO&gclid=Cj0KCQjw8JPVBhD-ARIsAO691sFVNHq0a7neAH95mm2HxgTLoZFmFGewt5MC2yHm5PxWoW8kOSVbQhAaAgIsEALw_wcB,
,20mmx20mm angle brackets ,8,5,for connect two profiles,ROBOCRAZE.in,https://robocraze.com/products/aluminium-profile-angle-bracket-l-joint-corner?variant=43139286434016&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOop_fyCazi-xDFLWr2sjZI3vluw89u1l5Mt48AS6MbU622bVCwFg2Fo,
,8mm linear bearing,7,5,for sliding the rods,ROBOCRAZE.in,https://robocraze.com/products/lm8uu-8-mm-linear-motion-bearing-for-3d-printer?variant=40193531052185&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&campaignid=19018890706&adgroupid=&keyword=&device=c&gad_source=1&gad_campaignid=19012070097&gbraid=0AAAAADgHQvbSIUwgrIy3mqs0BcaCLSKuQ&gclid=Cj0KCQjw8JPVBhD-ARIsAO691sGEWHw7Nhk9uUU44ZmIx06Gs7dCPFboZypWF2mAY1o13fKnnVsIUg8aApvVEALw_wcB,
,Nema17 Stepper Motor,4,40,for move the laser,AMAZON.in,https://www.amazon.in/gp/product/B0781GS787/ref=ox_sc_act_title_1?smid=A2B9V8Z51HU3W2&psc=1,
,20 teeth puley,3,2,for move the belt,ROBU.in,https://robu.in/product/gt2-6mm-belt-width-20-teeth-5mm-bore-timing-pulley/?gad_source=1&gad_campaignid=17416544847&gbraid=0AAAAADvLFWe12B3AfPO5xZJl_wTg7BaEO&gclid=Cj0KCQjw8JPVBhD-ARIsAO691sEbQKPTLAdVmY5DvQQw8lIonNBrlh8RDiDn_mfr8Fjr9KRgRLXYfScaAiq2EALw_wcB,
,idler pulley,3,3,for adjust the belt,ROBOCRAZE.IN,https://robocraze.com/products/gt2-perlin-driven-aluminium-pulley-5mm-bore?_pos=9&_sid=bdb522e4b&_ss=r,
,Arduino Uno R3,1,5,main brain of this project,ROBU.in,https://robu.in/product/arduino-uno-r3/,
,a4988 stepper driver,2,4,for control the stepper motors,ROBU.IN,https://robu.in/product/a4988-driver-stepper-motor-driver/,
,6mm timing belt,3,5,for connect the motor with pully,ROBU.in,https://robu.in/product/1m-gt2-width-6mm-black-open-timing-belt-for-3d-printer/,
,10A 12V DC Power Supply,1,8,power this project,AMAZON.in,https://www.amazon.in/Murphy-Constant-Aluminium-Approved-Warranty/dp/B0FJMGCRPW/ref=sr_1_15?crid=RACS2OABO3HQ&dib=eyJ2IjoiMSJ9.0tuFr80jC2xO7W0A0JWzIjNgRA6sjCgC7aFtt8zI8fnm6MJF8Ew3YwAKJ2NgByZxN_poDxkyxZtlKeYaOTHtT-7rYhjxp3QNR7zeaORsC7G_NQrAnB14hJCuP9v0OASJzoHpAGG0LED8W-ZR9SuvuqeuTwtoWeL5lFWpZvdMZc-WY6jkaYYHuWF-HN2PsG8lXjS6DyEC1j1CDvWnoiNUhjSDyWNrq0fMw9aTS0hZlOE.6RJQ5KXOxXqmoe74RA1zw1OX4TXevtFW6aB94RNxGSo&dib_tag=se&keywords=12v%2B10amp%2Bpower%2Bsupply&qid=1789231329&sprefix=12v%2B10a%2Caps%2C280&sr=8-15&th=1,
,ac power cable,1,4,for connections,AMAZONE.in,https://www.amazon.in/FEDUS-Computer-Desktops-Printers-Monitor/dp/B08FT31ZK6/ref=sr_1_3?crid=2IZRH9ZC6VDSJ&dib=eyJ2IjoiMSJ9.nYbeXR3nX_tA8VN6cJSYbtxBlVY7tgpQmaW1osGcwwRP3hCrhYvEzPiq2ZvbOLG0OGfy764TWLS3FXzDZ_Tax5EZlaI_ovOjdboELeqawqu5t-XS1Iod1H6Uzu6OdgV_kXHUQLMYsPYCxtXbQsyubMwKA5fZ7-AbY1cGVsq_IpyJQUhkEIcXaVcy4hiHzG4hj2Q-YFQi-04IwOTD4bo0UOYZ6AV40kGXzmrJKOJNmYc.G78UGa8wbB3xSLz68xZdaFLZVhcusjltIAXqzSJRZkY&dib_tag=se&keywords=power%2Bcable%2B10ft&qid=1789231577&sprefix=power%2Bcable%2Caps%2C311&sr=8-3&th=1,
,C14 Male Power Cord Inlet Socket,1,1,for connections,ROBU.in,https://robu.in/product/ac-250v-15a-iec320-c14-male-power-cord-inlet-socket-with-fuse-holder/,
,4W Laser Engraver Module,1,100,main cutter,www.desertcart.in,https://www.desertcart.in/products/361402347-laser-tree-4w-laser-engraver-module-450nm-adjustable-focus-wood?source=search,
,3D printed parts,1,20,for mount motors arduino etc...,printlegion.in,,
,total,,220,,,,
